,index,key,file_name,file_path,jpg_path,cluster_index
230,230,5251388,5251388.jpg,data/raw/orignal_images/5251388.jpg,data/processed/transformed_images/5251388.jpg,60
231,231,4001375,4001375.jpg,data/raw/orignal_images/4001375.jpg,data/processed/transformed_images/4001375.jpg,-1
232,232,5316812,5316812.jpg,data/raw/orignal_images/5316812.jpg,data/processed/transformed_images/5316812.jpg,-1
233,233,5340128,5340128.jpg,data/raw/orignal_images/5340128.jpg,data/processed/transformed_images/5340128.jpg,-1
234,234,5233695,5233695.jpg,data/raw/orignal_images/5233695.jpg,data/processed/transformed_images/5233695.jpg,-1
235,235,5234030,5234030.jpg,data/raw/orignal_images/5234030.jpg,data/processed/transformed_images/5234030.jpg,-1
236,236,5316844,5316844.jpg,data/raw/orignal_images/5316844.jpg,data/processed/transformed_images/5316844.jpg,12
237,237,5338762,5338762.jpg,data/raw/orignal_images/5338762.jpg,data/processed/transformed_images/5338762.jpg,-1
238,238,5234546,5234546.jpg,data/raw/orignal_images/5234546.jpg,data/processed/transformed_images/5234546.jpg,61
239,239,4000755,4000755.jpg,data/raw/orignal_images/4000755.jpg,data/processed/transformed_images/4000755.jpg,62
240,240,5233803,5233803.jpg,data/raw/orignal_images/5233803.jpg,data/processed/transformed_images/5233803.jpg,-1
241,241,5251562,5251562.jpg,data/raw/orignal_images/5251562.jpg,data/processed/transformed_images/5251562.jpg,-1
242,242,4000377,4000377.jpg,data/raw/orignal_images/4000377.jpg,data/processed/transformed_images/4000377.jpg,46
243,243,4000777,4000777.jpg,data/raw/orignal_images/4000777.jpg,data/processed/transformed_images/4000777.jpg,-1
